Sequence Name,Data Size,Learning Time (s),Learning Time (ms),CPU Usage (%),RAM Usage (MB),Cores Used,Accuracy (%)
S1,49,1275.4884617,1275488,212068.359375,41.25,2,0
S2,49,1275.4884617,1275488,212068.359375,41.25,2,0
S3,49,1275.4884617,1275488,212068.359375,41.25,2,0
S4,9,1275.4884617,1275488,212068.359375,41.25,2,0
S5,9,1275.4884617,1275488,212068.359375,41.25,2,0
S6,9,1275.4884617,1275488,212068.359375,41.25,2,0
S7,9,1275.4884617,1275488,212068.359375,41.25,2,0
S8,9,1275.4884617,1275488,212068.359375,41.25,2,0
S9,9,1275.4884617,1275488,212068.359375,41.25,2,0
S10,9,1275.4884617,1275488,212068.359375,41.25,2,0
S11,9,1275.4884617,1275488,212068.359375,41.25,2,0
S12,9,1275.4884617,1275488,212068.359375,41.25,2,0
S13,9,1275.4884617,1275488,212068.359375,41.25,2,0
S14,9,1275.4884617,1275488,212068.359375,41.25,2,0
S15,9,1275.4884617,1275488,212068.359375,41.25,2,0
S16,9,1275.4884617,1275488,212068.359375,41.25,2,0
S17,9,1275.4884617,1275488,212068.359375,41.25,2,0
S18,9,1275.4884617,1275488,212068.359375,41.25,2,0
S19,9,1275.4884617,1275488,212068.359375,41.25,2,0
S20,9,1275.4884617,1275488,212068.359375,41.25,2,0
S21,9,1275.4884617,1275488,212068.359375,41.25,2,0
S22,9,1275.4884617,1275488,212068.359375,41.25,2,0
S23,9,1275.4884617,1275488,212068.359375,41.25,2,0
S24,9,1275.4884617,1275488,212068.359375,41.25,2,0
S25,9,1275.4884617,1275488,212068.359375,41.25,2,0
S26,9,1275.4884617,1275488,212068.359375,41.25,2,0
S27,9,1275.4884617,1275488,212068.359375,41.25,2,0
S28,9,1275.4884617,1275488,212068.359375,41.25,2,0
S29,9,1275.4884617,1275488,212068.359375,41.25,2,0
S30,9,1275.4884617,1275488,212068.359375,41.25,2,0
S1,49,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S2,49,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S3,49,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S4,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S5,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S6,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S7,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S8,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
S9,9,1275.4884617,1275488,212068.359375,41.25,2,33.33333333333333
