Experiment Name,Sequence Name,Data Size,Learning Time (s),Learning Time (ms),CPU Usage (%),RAM Usage (MB),Cores Used,Accuracy (%)
MultiSequenceLearning,S1,49,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S2,49,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S3,49,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S4,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S5,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S6,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S7,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S8,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S9,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S10,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S11,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S12,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S13,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S14,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S15,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S16,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S17,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S18,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S19,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S20,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S21,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S22,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S23,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S24,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S25,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S26,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S27,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S28,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S29,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S30,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S1,49,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S2,49,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S3,49,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S4,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S5,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S6,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S7,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S8,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S9,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S10,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S11,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S12,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S13,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S14,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S15,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S16,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S17,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S18,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S19,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S20,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S21,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S22,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S23,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S24,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S25,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S26,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S27,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S28,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S29,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S30,9,1203.06372,1203063,194685.546875,41.48046875,2,33.33333333333333
MultiSequenceLearning,S1,49,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S2,49,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S3,49,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S4,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S5,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S6,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S7,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S8,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S9,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S10,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S11,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S12,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S13,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S14,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S15,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S16,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S17,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S18,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S19,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S20,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S21,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S22,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S23,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S24,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S25,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S26,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S27,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S28,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S29,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S30,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S1,49,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S2,49,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S3,49,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S4,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S5,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S6,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S7,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S8,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S9,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S10,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S11,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S12,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S13,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S14,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S15,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S16,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S17,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S18,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S19,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S20,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S21,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S22,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S23,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S24,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S25,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S26,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S27,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S28,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S29,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S30,9,1203.06372,1203063,194685.546875,41.48046875,2,0
MultiSequenceLearning,S1,49,1215.3782485,1215378,209908.203125,37.80859375,3,0
